goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertUnderCapacity/500-10         	11963192	       100.4 ns/op	  11963192 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12198505	        98.85 ns/op	  12198505 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12268590	        97.45 ns/op	  12268590 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12195844	        98.36 ns/op	  12195844 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12238892	        97.96 ns/op	  12238892 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12109952	        98.49 ns/op	  12109952 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12112300	        98.34 ns/op	  12112300 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12209426	       100.3 ns/op	  12209426 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	11972079	        98.66 ns/op	  11972079 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12307738	        99.01 ns/op	  12307738 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12132282	        99.06 ns/op	  12132282 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12211652	        98.07 ns/op	  12211652 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	11998084	        98.81 ns/op	  11998084 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	11981104	       101.5 ns/op	  11981104 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12092156	        98.38 ns/op	  12092156 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12066339	        99.13 ns/op	  12066339 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12017455	        98.66 ns/op	  12017455 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12089638	        96.95 ns/op	  12089638 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12188499	        98.50 ns/op	  12188499 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12057468	        97.86 ns/op	  12057468 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12016216	        99.96 ns/op	  12016216 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12062276	       100.1 ns/op	  12062276 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12018482	        99.42 ns/op	  12018482 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12054616	       100.2 ns/op	  12054616 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12124946	        99.44 ns/op	  12124946 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12116071	        99.15 ns/op	  12116071 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	11989184	        99.13 ns/op	  11989184 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12044745	        99.04 ns/op	  12044745 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12080653	        99.30 ns/op	  12080653 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	11917051	        99.75 ns/op	  11917051 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12108517	        99.68 ns/op	  12108517 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12053320	       100.5 ns/op	  12053320 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12093106	       100.6 ns/op	  12093106 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12045637	        99.96 ns/op	  12045637 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12061003	        99.44 ns/op	  12061003 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12176786	        99.72 ns/op	  12176786 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12034598	       100.7 ns/op	  12034598 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	11876220	        99.44 ns/op	  11876220 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12051595	       100.4 ns/op	  12051595 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12022666	        99.73 ns/op	  12022666 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11628456	        98.09 ns/op	  11628456 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12071816	        98.33 ns/op	  12071816 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12197900	        97.88 ns/op	  12197900 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12125697	        98.94 ns/op	  12125697 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12002010	        99.15 ns/op	  12002010 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
