goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertUnderCapacity/500-10         	11589979	        99.74 ns/op	  11589979 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12184095	        98.45 ns/op	  12184095 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12274408	        99.11 ns/op	  12274408 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12288172	        98.33 ns/op	  12288172 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12208081	        98.23 ns/op	  12208081 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12230966	        98.44 ns/op	  12230966 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12204268	       100.4 ns/op	  12204268 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12340816	        99.78 ns/op	  12340816 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12064539	        98.14 ns/op	  12064539 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12005311	        97.90 ns/op	  12005311 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12246246	        98.13 ns/op	  12246246 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12266133	        97.56 ns/op	  12266133 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	11682687	        98.40 ns/op	  11682687 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12023188	        97.25 ns/op	  12023188 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12205783	        98.87 ns/op	  12205783 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12217926	        98.29 ns/op	  12217926 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12003260	        97.36 ns/op	  12003260 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12181534	        99.03 ns/op	  12181534 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	11994766	        96.73 ns/op	  11994766 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500-10         	12319700	        96.97 ns/op	  12319700 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12132691	        98.74 ns/op	  12132691 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	11855241	        99.96 ns/op	  11855241 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	11961105	        99.81 ns/op	  11961105 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/5000-10        	12040334	        99.01 ns/op	  12040334 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
